"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Talon/M_Dual_Blade_Talon.M_Dual_Blade_Talon","0","29","29","1","33.504692","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_SwordOfStorms/M_Dual_Blade_SwordOfStorms.M_Dual_Blade_SwordOfStorms","0","29","29","1","25.485296","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Rock/M_Dual_Blade_Rock.M_Dual_Blade_Rock","0","29","29","1","20.184059","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Machete/M_Dual_Blade_Machete.M_Dual_Blade_Machete","0","29","29","1","25.576925","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Glimmer/M_Dual_Blade_Glimmer.M_Dual_Blade_Glimmer","0","29","29","1","25.899790","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Fang/M_Dual_Blade_Fang.M_Dual_Blade_Fang","0","29","29","1","25.180143","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Cleaver/M_Dual_Blade_Cleaver.M_Dual_Blade_Cleaver","0","29","29","1","24.595066","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_BronzeScythe/M_Dual_Blade_BronzeScythe.M_Dual_Blade_BronzeScythe","0","29","29","1","24.862919","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Bone/M_Dual_Blade_Bone.M_Dual_Blade_Bone","0","29","29","1","23.791456","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe9/M_Dual_Blade_Axe9.M_Dual_Blade_Axe9","0","29","29","1","24.215572","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe8/M_Dual_Blade_Axe8.M_Dual_Blade_Axe8","0","29","29","1","23.490179","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe7/M_Dual_Blade_Axe7.M_Dual_Blade_Axe7","0","29","29","1","23.518990","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe6/M_Dual_Blade_Axe6.M_Dual_Blade_Axe6","0","29","29","1","23.507118","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe5/M_Dual_Blade_Axe5.M_Dual_Blade_Axe5","0","29","29","1","23.541653","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe4/M_Dual_Blade_Axe4.M_Dual_Blade_Axe4","0","29","29","1","38.134361","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe3/M_Dual_Blade_Axe3.M_Dual_Blade_Axe3","0","29","29","1","27.239960","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe2/M_Dual_Blade_Axe2.M_Dual_Blade_Axe2","0","29","29","1","28.739883","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe17/M_Dual_Blade_Axe17.M_Dual_Blade_Axe17","0","29","29","1","31.537340","0","0"
